id,ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi
1.0,3.0,2.68,3.07,3.51,2.63,2.63,3.54,3.13,80.3,90.4,80.4,,87.4,65.9,0.0,1.6,3.9,3.0,5.6,3.2,2.2,Tidak Bekerja,,Menengah
2.0,4.0,,2.81,2.49,2.45,3.22,2.9,2.43,,83.4,79.7,84.9,82.7,,3.0,2.5,7.2,10.6,7.4,5.4,6.8,Penuh Waktu,37.0,Menengah
3.0,3.92,3.29,2.8,2.96,2.27,2.23,1.81,2.07,91.4,75.9,89.8,98.0,87.1,91.0,2.0,3.2,4.8,7.9,2.8,6.9,,Tidak Bekerja,0.0,Menengah
4.0,5.0,3.14,2.44,2.92,2.06,2.61,2.72,3.23,100.0,90.8,88.0,74.7,70.8,86.9,0.0,5.3,6.2,6.4,5.7,2.1,6.8,,0.0,Menengah
5.0,3.23,2.65,2.36,2.57,3.11,2.62,3.17,2.09,76.3,79.9,71.9,100.0,74.0,94.1,2.0,3.7,4.0,5.6,2.1,3.7,4.7,Tidak Bekerja,,Rendah
6.0,2.72,2.92,2.71,2.63,3.47,3.28,1.5,3.49,100.0,97.3,82.9,78.1,92.3,78.8,1.0,5.7,5.0,7.4,4.2,4.1,5.8,Paruh Waktu,12.0,Menengah
7.0,1.97,,2.22,2.99,2.29,3.52,2.36,2.59,93.1,,87.3,98.1,68.9,86.8,0.0,5.5,6.6,2.5,2.4,6.0,5.6,Penuh Waktu,30.0,Menengah
8.0,2.9,2.39,3.68,2.99,2.15,3.08,2.26,3.14,96.6,76.8,94.6,89.1,93.2,,3.0,4.5,3.5,3.2,3.4,4.8,5.7,Penuh Waktu,31.0,Rendah
9.0,4.0,2.73,2.74,2.85,3.05,2.58,3.05,1.78,88.4,85.5,82.8,,78.9,76.9,0.0,,4.5,7.2,4.3,6.3,2.8,Tidak Bekerja,0.0,Rendah
10.0,3.19,2.53,2.96,2.39,1.85,2.98,1.97,2.49,77.7,87.0,79.4,83.7,69.4,,0.0,2.6,7.4,5.3,5.3,5.7,1.2,Tidak Bekerja,0.0,Menengah
11.0,2.73,3.01,2.55,2.97,3.58,2.38,2.7,2.51,100.0,80.7,77.7,79.2,83.6,77.1,1.0,4.3,5.3,4.8,6.7,4.4,4.6,Tidak Bekerja,,Tinggi
12.0,2.36,3.71,2.16,2.86,2.58,2.34,3.1,3.05,80.2,64.1,80.8,86.4,85.0,92.6,1.0,8.9,5.8,6.1,5.3,7.3,6.1,Paruh Waktu,12.0,Menengah
13.0,2.67,3.04,2.89,2.44,2.65,2.5,2.46,3.17,,78.1,94.0,88.1,93.1,91.3,0.0,3.3,3.9,6.5,6.2,5.0,5.2,Tidak Bekerja,0.0,Menengah
14.0,3.53,2.53,2.55,2.88,2.76,3.22,2.49,3.22,82.6,93.5,82.3,78.9,100.0,95.7,0.0,1.4,4.1,,2.6,6.5,6.3,Paruh Waktu,14.0,Menengah
15.0,1.7,3.64,2.6,3.15,3.06,3.43,2.53,2.85,90.6,93.7,96.5,80.2,78.4,98.6,2.0,0.9,8.1,4.4,5.0,3.6,4.9,Tidak Bekerja,0.0,Rendah
16.0,2.7,2.95,3.1,2.55,2.86,2.76,2.8,2.36,85.2,90.0,99.5,,100.0,77.3,1.0,6.7,5.4,9.4,3.4,3.3,3.8,Tidak Bekerja,0.0,Rendah
17.0,2.92,3.69,3.23,2.46,2.3,,2.09,3.67,96.8,80.3,67.9,98.5,83.9,,,1.8,3.8,5.0,5.1,4.1,6.2,Tidak Bekerja,0.0,Rendah
,3.28,3.52,,2.6,2.87,3.77,2.81,3.53,86.7,96.5,95.3,86.7,74.8,82.3,0.0,8.0,6.8,4.1,4.3,1.5,7.9,,,Tinggi
19.0,3.5,2.79,3.56,2.06,1.9,,2.94,2.73,64.3,84.1,72.0,91.7,88.7,75.6,0.0,4.0,2.9,4.9,6.9,3.0,6.0,Tidak Bekerja,0.0,Rendah
20.0,2.34,2.47,2.03,2.65,2.78,1.61,2.7,2.77,90.1,97.0,93.5,78.8,77.6,90.8,3.0,3.9,2.5,9.7,4.4,3.7,0.6,Paruh Waktu,17.0,Rendah
21.0,2.57,3.2,2.31,2.64,2.36,3.04,3.34,2.86,85.8,76.2,78.0,73.1,63.2,81.1,0.0,4.4,9.3,8.1,6.1,,7.8,Paruh Waktu,19.0,Rendah
22.0,3.21,3.7,2.05,3.03,2.42,2.51,2.45,2.32,,76.7,87.7,84.5,82.6,75.9,0.0,3.8,6.5,6.0,3.0,5.2,6.5,Paruh Waktu,12.0,Menengah
23.0,3.07,2.34,3.67,2.88,2.64,2.82,3.13,2.76,93.8,68.2,77.5,63.6,100.0,,2.0,6.3,3.0,9.8,3.8,4.6,5.3,Penuh Waktu,,Menengah
24.0,3.08,2.66,3.04,,,3.07,2.53,2.98,91.5,72.1,82.3,91.1,100.0,93.2,1.0,8.5,4.2,5.5,6.6,0.3,8.0,Paruh Waktu,10.0,Menengah
25.0,2.87,3.14,2.01,3.32,,2.54,3.07,,86.8,87.5,80.4,76.5,93.3,76.4,0.0,5.1,4.0,6.0,5.7,7.1,4.0,Tidak Bekerja,0.0,Menengah
26.0,3.39,2.53,2.54,2.47,3.23,3.24,3.44,3.25,68.7,87.8,74.4,,86.7,93.4,2.0,3.2,0.4,5.4,10.3,4.6,5.1,Penuh Waktu,41.0,Rendah
27.0,3.35,3.09,2.44,2.66,2.59,2.51,2.55,2.54,80.3,94.5,74.5,77.7,69.2,99.2,0.0,3.4,6.3,6.0,7.6,4.6,3.1,Penuh Waktu,35.0,Rendah
28.0,2.58,3.58,2.62,2.0,2.63,2.61,1.4,2.72,82.7,92.0,100.0,96.3,82.3,73.9,0.0,10.1,5.1,5.0,5.0,5.4,4.7,Tidak Bekerja,0.0,Rendah
29.0,4.0,2.2,3.44,1.42,1.71,2.13,2.16,2.85,87.9,82.5,83.5,90.3,93.3,71.7,1.0,4.3,4.9,6.0,3.5,4.8,5.1,Tidak Bekerja,0.0,Rendah
30.0,2.8,2.68,3.0,2.22,2.57,2.64,3.16,2.28,87.3,87.5,100.0,74.9,,75.6,1.0,1.7,8.5,2.5,3.4,7.6,1.5,Tidak Bekerja,0.0,Menengah
31.0,1.87,2.48,3.24,2.73,2.58,3.42,3.83,3.09,78.8,80.8,72.1,86.0,68.7,90.5,1.0,9.0,6.4,4.1,6.1,8.2,8.1,Paruh Waktu,16.0,Menengah
32.0,2.54,3.48,2.94,2.69,2.64,3.35,2.87,2.97,90.4,86.3,90.2,83.8,84.5,73.8,0.0,5.6,1.6,5.6,4.4,5.7,2.9,Tidak Bekerja,0.0,Rendah
33.0,3.58,2.4,2.28,3.9,3.24,2.45,2.86,3.72,91.9,97.9,93.0,94.3,85.4,85.1,,5.5,6.5,4.4,5.2,4.4,5.2,Paruh Waktu,10.0,Rendah
34.0,2.21,3.28,2.73,3.09,,2.76,3.22,2.49,86.0,80.4,80.7,,87.2,80.2,2.0,7.5,3.2,4.6,4.1,7.9,5.4,Tidak Bekerja,0.0,Menengah
35.0,3.11,2.77,3.36,2.41,2.5,1.51,3.21,2.91,68.2,67.4,76.3,92.9,82.0,77.0,,3.0,2.9,1.1,2.6,2.9,6.4,Penuh Waktu,34.0,Rendah
36.0,2.73,3.09,2.19,2.94,2.83,3.0,2.89,3.98,78.6,79.7,78.8,79.4,78.6,96.9,1.0,7.8,3.9,3.3,5.9,3.9,6.3,Tidak Bekerja,0.0,Menengah
37.0,2.44,2.56,2.89,2.92,3.08,3.76,2.66,2.35,71.2,77.7,84.7,100.0,79.8,87.2,4.0,5.0,,10.1,3.9,4.0,7.1,Paruh Waktu,10.0,Menengah
38.0,3.0,3.18,3.25,3.52,,2.99,2.56,2.33,78.1,89.9,89.2,89.0,82.7,85.0,0.0,6.6,2.0,5.0,5.2,6.5,2.3,Paruh Waktu,12.0,Rendah
