ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi,cluster
3,2.68,3.07,3.51,2.63,2.63,3.54,3.13,80.3,90.4,80.4,84.5,87.4,65.9,0,1.6,3.9,3,5.6,3.2,2.2,Paruh Waktu,0,Menengah,1
4,2.75,2.81,2.49,2.45,3.22,2.9,2.43,85.5,83.4,79.7,84.9,82.7,85,3,2.5,7.2,10.35,7.4,5.4,6.8,Penuh Waktu,37,Menengah,0
3.92,3.29,2.8,2.96,2.27,2.23,1.81,2.07,91.4,75.9,89.8,98,87.1,91,2,3.2,4.8,7.9,2.8,6.9,5.1,Paruh Waktu,0,Menengah,1
4.05,3.14,2.44,2.92,2.06,2.61,2.72,3.23,100,90.8,88,74.7,70.8,86.9,0,5.3,6.2,6.4,5.7,2.1,6.8,Tidak Bekerja,0,Menengah,1
3.23,2.65,2.36,2.57,3.11,2.62,3.17,2.09,76.3,79.9,71.9,100,74,94.1,2,3.7,4,5.6,2.1,3.7,4.7,Paruh Waktu,0,Rendah,1
2.72,2.92,2.71,2.63,3.47,3.28,1.5,3.49,100,97.3,82.9,78.1,92.3,78.8,1,5.7,5,7.4,4.2,4.1,5.8,Tidak Bekerja,12,Menengah,1
1.97,2.75,2.22,2.99,2.29,3.52,2.36,2.59,93.1,85.2,87.3,98.1,68.9,86.8,0,5.5,6.6,2.5,2.4,6,5.6,Penuh Waktu,30,Menengah,0
2.9,2.39,3.68,2.99,2.15,3.08,2.26,3.14,96.6,76.8,94.6,89.1,93.2,85,3,4.5,3.5,3.2,3.4,4.8,5.7,Penuh Waktu,31,Rendah,0
4,2.73,2.74,2.85,3.05,2.58,3.05,1.78,88.4,85.5,82.8,84.5,78.9,76.9,0,4.9,4.5,7.2,4.3,6.3,2.8,Paruh Waktu,0,Rendah,1
3.19,2.53,2.96,2.39,1.85,2.98,1.97,2.49,77.7,87,79.4,83.7,69.4,85,0,2.6,7.4,5.3,5.3,5.7,1.2,Paruh Waktu,0,Menengah,1
2.73,3.01,2.55,2.97,3.58,2.38,2.7,2.51,100,80.7,77.7,79.2,83.6,77.1,1,4.3,5.3,4.8,6.7,4.4,4.6,Paruh Waktu,0,Tinggi,1
2.36,3.71,2.16,2.86,2.58,2.34,3.1,3.05,80.2,64.1,80.8,86.4,85,92.6,1,8.9,5.8,6.1,5.3,7.3,6.1,Tidak Bekerja,12,Menengah,1
2.67,3.04,2.89,2.44,2.65,2.5,2.46,3.17,85.5,78.1,94,88.1,93.1,91.3,0,3.3,3.9,6.5,6.2,5,5.2,Paruh Waktu,0,Menengah,1
3.53,2.53,2.55,2.88,2.76,3.22,2.49,3.22,82.6,93.5,82.3,78.9,100,95.7,0,1.4,4.1,4.9,2.6,6.5,6.3,Tidak Bekerja,14,Menengah,1
1.7,3.64,2.6,3.15,3.06,3.43,2.53,2.85,90.6,93.7,96.5,80.2,78.4,98.6,2,0.9,8.1,4.4,5,3.6,4.9,Paruh Waktu,0,Rendah,1
2.7,2.95,3.1,2.55,2.86,2.76,2.8,2.36,85.2,90,99.5,84.5,100,77.3,1,6.7,5.4,9.4,3.4,3.3,3.8,Paruh Waktu,0,Rendah,1
2.92,3.69,3.23,2.46,2.3,2.73,2.09,3.67,96.8,80.3,67.9,98.5,83.9,85,1,1.8,3.8,5,5.1,4.1,6.2,Paruh Waktu,0,Rendah,1
3.28,3.52,2.75,2.6,2.87,3.77,2.81,3.53,86.7,96.5,95.3,86.7,74.8,82.3,0,8,6.8,4.1,4.3,1.5,7.9,Tidak Bekerja,0,Tinggi,1
3.5,2.79,3.56,2.06,1.9,2.73,2.94,2.73,64.3,84.1,72,91.7,88.7,75.6,0,4,2.9,4.9,6.9,3,6,Paruh Waktu,0,Rendah,1
2.34,2.47,2.03,2.65,2.78,1.61,2.7,2.77,90.1,97,93.5,78.8,77.6,90.8,3,3.9,2.5,9.7,4.4,3.7,0.6,Tidak Bekerja,17,Rendah,1
2.57,3.2,2.31,2.64,2.36,3.04,3.34,2.86,85.8,76.2,78,73.1,63.2,81.1,0,4.4,9.3,8.1,6.1,5,7.8,Tidak Bekerja,19,Rendah,1
3.21,3.7,2.05,3.03,2.42,2.51,2.45,2.32,85.5,76.7,87.7,84.5,82.6,75.9,0,3.8,6.5,6,3,5.2,6.5,Tidak Bekerja,12,Menengah,1
3.07,2.34,3.67,2.88,2.64,2.82,3.13,2.76,93.8,68.2,77.5,63.6,100,85,2,6.3,3,9.8,3.8,4.6,5.3,Penuh Waktu,0,Menengah,1
3.08,2.66,3.04,2.73,2.78,3.07,2.53,2.98,91.5,72.1,82.3,91.1,100,93.2,1,8.5,4.2,5.5,6.6,0.3,8,Tidak Bekerja,10,Menengah,1
2.87,3.14,2.01,3.32,2.78,2.54,3.07,2.76,86.8,87.5,80.4,76.5,93.3,76.4,0,5.1,4,6,5.7,7.1,4,Paruh Waktu,0,Menengah,1
3.39,2.53,2.54,2.47,3.23,3.24,3.44,3.25,68.7,87.8,74.4,84.5,86.7,93.4,2,3.2,0.4,5.4,10.3,4.6,5.1,Penuh Waktu,41,Rendah,0
3.35,3.09,2.44,2.66,2.59,2.51,2.55,2.54,80.3,94.5,74.5,77.7,69.2,99.2,0,3.4,6.3,6,7.6,4.6,3.1,Penuh Waktu,35,Rendah,0
2.58,3.58,2.62,2,2.63,2.61,1.47,2.72,82.7,92,100,96.3,82.3,73.9,0,9.9875,5.1,5,5,5.4,4.7,Paruh Waktu,0,Rendah,1
4,2.2,3.44,1.42,1.71,2.13,2.16,2.85,87.9,82.5,83.5,90.3,93.3,71.7,1,4.3,4.9,6,3.5,4.8,5.1,Paruh Waktu,0,Rendah,1
2.8,2.68,3,2.22,2.57,2.64,3.16,2.28,87.3,87.5,100,74.9,84.7,75.6,1,1.7,8.5,2.5,3.4,7.6,1.5,Paruh Waktu,0,Menengah,1
1.87,2.48,3.24,2.73,2.58,3.42,3.83,3.09,78.8,80.8,72.1,86,68.7,90.5,1,9,6.4,4.1,6.1,8.2,8.1,Tidak Bekerja,16,Menengah,1
2.54,3.48,2.94,2.69,2.64,3.35,2.87,2.97,90.4,86.3,90.2,83.8,84.5,73.8,0,5.6,1.6,5.6,4.4,5.7,2.9,Paruh Waktu,0,Rendah,1
3.58,2.4,2.28,3.9,3.24,2.45,2.86,3.72,91.9,97.9,93,94.3,85.4,85.1,1,5.5,6.5,4.4,5.2,4.4,5.2,Tidak Bekerja,10,Rendah,1
2.21,3.28,2.73,3.09,2.78,2.76,3.22,2.49,86,80.4,80.7,84.5,87.2,80.2,2,7.5,3.2,4.6,4.1,7.9,5.4,Paruh Waktu,0,Menengah,1
3.11,2.77,3.36,2.41,2.5,1.51,3.21,2.91,68.2,67.4,76.3,92.9,82,77,1,3,2.9,1.1,2.6,2.9,6.4,Penuh Waktu,34,Rendah,0
2.73,3.09,2.19,2.94,2.83,3,2.89,3.98,78.6,79.7,78.8,79.4,78.6,96.9,1,7.8,3.9,3.3,5.9,3.9,6.3,Paruh Waktu,0,Menengah,1
2.44,2.56,2.89,2.92,3.08,3.76,2.66,2.35,71.2,77.7,84.7,100,79.8,87.2,4,5,4.9,10.1,3.9,4,7.1,Tidak Bekerja,10,Menengah,1
3,3.18,3.25,3.52,2.78,2.99,2.56,2.33,78.1,89.9,89.2,89,82.7,85,0,6.6,2,5,5.2,6.5,2.3,Tidak Bekerja,12,Rendah,1
2.73,2.59,2.57,3.3,3.03,2.4,2.47,3,89.9,79,82.7,100,79.1,100,1,7.2,8.5,3.7,4.7,4.1,7.3,Penuh Waktu,40,Menengah,0
2.14,2.66,3.07,3.24,3.31,3.41,2.64,2.18,83.9,91.3,72.7,100,94,82.9,0,3.6,3.7,5.1,4.5,6.9,4.3,Paruh Waktu,0,Tinggi,1
2.92,2.98,3.03,2.97,3.07,3.41,2.85,3.1,84.1,99.4,78.2,100,84.6,70.7,1,5.3,3.6,6.7,3.7,4.1,1.2,Paruh Waktu,0,Rendah,1
1.96,3.13,3.14,2.96,2.27,2.73,2.75,2.17,100,93.8,82.8,85.3,87.1,64.6,2,4.5,3.6,3,4.4,8.6,6.3,Penuh Waktu,31,Rendah,0
2.86,3.19,3.49,3.51,2.94,2.66,2.82,3.01,90.2,98.1,100,82.9,100,96.7,0,4.8,8,8.4,4.1,8.5,7.2,Paruh Waktu,0,Menengah,1
3.59,2.65,2.66,3.27,3,1.75,2.33,2.74,71.3,80.3,71.6,81.3,81.6,88.5,1,4.8,6,5.8,7.1,6.7,6.5,Tidak Bekerja,11,Menengah,1
2.7,3.64,1.93,2.46,3.15,2.84,3.02,2.12,98.8,92.8,89,78.1,88.2,82.1,0,1.7,4.9,4.7,7.1,0.5,5.5,Tidak Bekerja,15,Menengah,1
3.27,2.6,2.76,2.7,1.94,3.52,2.37,2.37,83.5,95,79.1,65.5,76.1,89.2,3,9.4,2.5,2.4,2,1.7,7.4,Tidak Bekerja,10,Menengah,1
2.59,2.47,2.77,2.41,2.68,2.23,2.66,2.97,79.1,85.1,86.4,89.5,83.7,95.9,1,0.8,9.95,3.3,5.8,3.1,6.3,Tidak Bekerja,11,Rendah,1
3.15,2.14,2.72,2.85,2.84,2.83,2.55,2.89,91.2,86.4,90.1,94.9,66.5,94.4,2,5.7,2.8,6.6,4.2,4.5,4,Paruh Waktu,0,Menengah,1
3.14,2.55,2.02,2.3,2.08,3.33,3.42,3.54,64.8,95.7,100,96.1,63.5,100,1,5.1,4.5,5.9,2.9,5,8.2,Tidak Bekerja,17,Menengah,1
2.76,1.98,3.47,1.84,3.91,3.11,3.09,3.04,82.5,88.9,83.1,90.5,84.7,75.5,3,3.3,3,6.9,3.8,1.2,5.8,Tidak Bekerja,11,Rendah,1
2.91,2.95,2.46,2.3,2.47,3.01,2.68,3.15,89.8,62.2,87.5,100,98.3,89.2,3,2.9,6,4.9,4.5,5.6,8,Paruh Waktu,0,Rendah,1
2.47,2.97,2.18,2.62,3,2.57,3.98,1.8,79.5,75.6,84.75,78.6,71.7,92.5,1,3.9,5.3,4.1,3.6,8.3,6.8,Paruh Waktu,0,Menengah,1
3.27,2.49,1.93,3.27,2.83,2.88,3.15,2.1,68.7,100,70.6,72.8,74.8,100,3,6,6.9,5.4,3.8,6.3,1.9,Tidak Bekerja,19,Rendah,1
2.62,3.61,2.8,2.41,2.25,3.06,2.29,2.79,100,81.9,84.75,72.9,79.7,70.9,1,5.1,6.6,5.2,7.5,3.5,5.5,Tidak Bekerja,10,Menengah,1
2.41,2.16,1.98,2.15,2.78,1.94,2.47,3.16,89.5,79.7,100,100,85.3,60.3,1,6.8,0.4,8,7.2,8.5,5.5,Paruh Waktu,0,Rendah,1
3.11,2.81,2.39,4,3.21,1.95,2.49,3.22,77,88.5,94.5,84.5,83.9,84.3,1,4.2,5.6,6.3,5.3,4.3,6.3,Penuh Waktu,0,Menengah,1
2.41,2.72,2.47,2.54,2.57,2.4,2.9,2.44,85.2,77.7,69.7,94.1,90,100,2,2.9,4.6,4.7,7,4,2.7,Paruh Waktu,0,Menengah,1
2.46,1.45,2.48,2.95,2.01,2.84,2.74,2.76,86.2,75.3,97,83.4,84.7,75.7,3,4.1,3.2,4.7,8.4,2.3,1.8,Paruh Waktu,0,Menengah,1
2.45,3.66,3.09,2.51,3.83,2.45,3.12,2.9,98,100,85.3,77.5,89.6,78.2,1,9,5.3,4.3,5.4,2.3,3.1,Paruh Waktu,0,Menengah,1
3.34,3.11,3.25,2.37,2.04,3.5,2.59,2.62,98.3,90.6,89.6,100,78.6,94.3,1,5.1,5.5,8.1,6,6.1,7.1,Paruh Waktu,0,Rendah,1
2.23,1.77,3.78,2.2,2.64,2.61,2.9,3.16,93.6,79.2,83.3,87.8,82.5,100,0,6,6.5,6.3,7.3,5.4,2.4,Penuh Waktu,42,Rendah,0
3.16,3.04,2.77,2,3,3.11,3.9,3.29,66,85.8,100,91.2,88.3,94,2,3.8,6,4.5,5,6.7,3.1,Penuh Waktu,37,Rendah,0
3.13,3.04,3.52,3.22,3.09,1.64,3.35,2.79,88.1,88.2,92.7,96.2,91.3,89.8,1,5.5,0,4.4,3.1,7.4,6.2,Paruh Waktu,0,Rendah,1
2.55,2.54,2.03,1.92,2.76,3.29,2.48,2.9,92.3,75.1,84.8,84.5,100,100,1,3,5.8,7.1,6.7,5.2,7.6,Paruh Waktu,0,Rendah,1
2.46,2.66,3.06,3.1,2.3,3.28,2.98,2.21,71.7,84.8,93.5,93.8,88.6,85.5,2,6,3.3,8.4,8.3,5.9,5.4,Tidak Bekerja,12,Rendah,1
3.01,2.48,2.17,1.395,2.74,3.64,3.58,2.52,79,89.7,75,88,92.7,97.3,1,4.8,4.6,3.2,3.3,4.5,5.7,Paruh Waktu,0,Menengah,1
2.74,2.38,1.54,3.19,3.12,2.61,2.78,3.01,69.4,79.7,92.9,72.5,87.9,71.4,0,5.9,4.9,4.9,7.3,3.5,3.4,Penuh Waktu,30,Menengah,0
2.96,3.1,2.84,2.57,2.34,2.79,2.21,1.415,85.5,94,61.4,74.9,91.2,100,2,5,3.5,4.6,7.7,3.7,3.4,Paruh Waktu,0,Rendah,1
2.57,3.01,2.91,2.73,2.72,2.38,2.79,3.19,75.3,84.9,95.4,90.1,98.1,79.3,1,1.3,5.4,5.7,7.7,7.4,6.1,Paruh Waktu,0,Tinggi,1
3.24,3.08,3.17,2.54,2.62,2.99,2.48,2.49,88,92.6,83,73.4,77.6,87,2,5.4,5.5,6,5,5.5,4.9,Tidak Bekerja,11,Rendah,1
2.77,2.62,3.65,2.86,2.35,3.05,2.89,2.9,100,88.5,82,65.4,83.3,98.1,0,4.8,0.5,4,7,6.1,3.3,Penuh Waktu,30,Rendah,0
2.42,1.74,3.13,3.38,1.99,3.37,2.7,3.36,85.4,86.4,88.7,77.1,96.9,73.8,0,4.2,6,4,6.6,7.8,7,Tidak Bekerja,15,Rendah,1
2.5,3.47,2.92,2.86,3.09,2.45,3.18,2.92,69.4,70.7,79.3,71.8,82.6,74.9,1,4.8,7.8,4.9,4.4,5.8,3.6,Penuh Waktu,32,Menengah,0
3.19,2.49,3.08,2.56,2.92,2.43,2.29,2.8,66.1,82,68.9,92.8,95.5,76.4,3,5.9,6.8,6.8,5.4,6.5,3.7,Paruh Waktu,0,Menengah,1
2.92,3.33,2.88,3.07,3.08,4,1.84,2.41,99.7,85.2,93.9,87.3,100,73.9,3,7.4,8.5,3,6.6,3.1,5.1,Paruh Waktu,0,Menengah,1
3.9,2.8,2.7,2.66,2.53,1.65,2.64,1.72,89.5,72.6,76.1,78.3,83,85.1,1,7.2,3.8,6,10.45,5,4.6,Paruh Waktu,0,Rendah,1
2.8,1.67,2.74,3.29,2.55,2.42,2.06,1.82,93.3,83.2,92.7,100,94.2,79.6,1,5.3,3.8,3.6,5.7,3.3,0.6,Paruh Waktu,0,Rendah,1
3.01,2.67,3.36,3.33,3.34,1.88,2.85,3.13,88.8,91.4,85.6,77.6,68,78.5,1,9.9875,4,1.1,6.5,6.7,7.6,Penuh Waktu,40,Menengah,0
3.25,2.41,3.45,2.62,2.89,2.88,2.68,3.16,92.9,67.5,98,68.4,95.3,96.3,2,2.8,4.2,2.8,4.6,4.4,6.6,Paruh Waktu,0,Rendah,1
2.67,2.39,3.31,2.16,1.94,3.39,3.7,2.52,84.5,73.5,85.1,80.2,84,89.1,1,2.8,4.3,1.4,4.3,4.8,5.5,Penuh Waktu,33,Tinggi,0
2.21,2.91,4,1.85,2.49,2.41,2.53,3.26,90.4,93.5,85.3,71.8,73.9,92.5,1,5.3,7.5,5.6,2.6,4,6.1,Tidak Bekerja,12,Menengah,1
2.14,3,2.75,2.7,4,2,2.88,2.98,95.9,86,88.1,81.1,87.7,81.6,1,4.9,4.3,5.8,4.9,7.3,4.9,Tidak Bekerja,19,Menengah,1
3.79,2.17,2.64,3.09,3.02,2.9,1.65,1.89,100,100,83.9,98.9,74.8,77.1,2,2.8,3.3,6.4,3.3,9.5,5.9,Tidak Bekerja,11,Rendah,1
3.35,2.03,2.84,2.82,2.44,2.91,3.52,2.4,94.6,73.7,100,92.8,100,91.7,2,5.8,6.6,4.7,1.8,5.9,5.1,Tidak Bekerja,11,Rendah,1
2.61,3.07,1.98,2.68,2.79,2.76,1.92,3.35,76.5,88.4,85.1,95,100,72.1,1,3.7,5.4,2.8,6.6,6.7,6.1,Penuh Waktu,33,Rendah,0
1.83,2.74,2.92,2.28,2.44,2.76,3.23,2.23,76.4,96.3,82.3,77.2,92.3,80.1,0,7.1,3.7,4.7,6.9,4.5,6.5,Penuh Waktu,34,Rendah,0
3.12,2.81,2.98,3.2,2.54,2.45,2.67,2.85,78.4,81.1,89,86.6,83.1,67.6,0,5,3.1,7,4.4,3,4.9,Tidak Bekerja,12,Rendah,1
2.52,3.48,2.91,2.9,3.06,2.18,3.27,2.71,91.7,74.3,69.5,93.2,88.8,76,0,3.3,7.3,2.6,8.3,3.2,6.3,Penuh Waktu,40,Rendah,0
2.77,2.25,3.12,2.49,2.64,2.25,1.47,2.65,85.5,92.8,84.8,82.4,85.2,90.5,2,2.6,7.2,6.4,6.4,5.9,5,Paruh Waktu,0,Rendah,1
3.24,2.38,1.67,2.88,3.24,2.07,3.09,3.09,62.3,75.6,81,83.2,77.6,77,0,8.3,4.8,3.6,4.9,6.1,5.1,Paruh Waktu,0,Rendah,1
2.56,2.59,3.39,3.03,2.19,2.87,3,3.32,100,74.8,76.9,72.4,82.7,89.7,1,7,4.8,4.4,5.3,3.3,9.2,Paruh Waktu,0,Tinggi,1
3.76,2.75,2.65,2.57,2.66,3.44,1.64,3.52,70.8,82.3,80.7,90.9,69,89.6,1,9,2.3,5.4,3.7,5.9,5.1,Tidak Bekerja,19,Menengah,1
3.45,3.34,2.87,2.15,2.75,3.53,3.06,2.65,91.3,72.3,78,74.2,89.7,92.1,2,4.7,3.3,5,4,3.4,5.7,Paruh Waktu,0,Rendah,1
2.43,3.41,3.46,2.45,1.82,3.25,2.41,3.15,65.3,93.9,72.9,92.3,85.1,75.5,0,4.2,6.4,4.9,6.2,9,1.9,Tidak Bekerja,19,Menengah,1
3.19,2.67,2.59,3.3,3.08,3.02,2.81,3.24,78.4,77.1,92.5,68.7,85.9,81.8,1,2.2,3.1,4.8,7.1,3.7,7.4,Penuh Waktu,31,Menengah,0
2.5,2.71,2.92,2.51,2.41,2.77,2.21,2.21,91.8,73.5,91.7,89.6,67.7,78.2,2,7.4,3,4.1,5.9,6.6,4.5,Penuh Waktu,36,Rendah,0
2.11,1.85,2.82,1.88,3.14,2.05,1.63,2.6,86.4,89.9,86.7,74.4,92.1,94.6,0,2.6,4.6,4.5,5.4,4.6,4.9,Paruh Waktu,0,Rendah,1
2.28,2.98,2.91,2.53,2.4,3.69,1.81,2.76,97.9,59.35,92.9,82.8,87.6,81.8,1,7.2,5.7,5.3,3.2,8.8,5,Tidak Bekerja,17,Rendah,1
2.63,2.88,2.87,3.44,2.25,2.61,2.19,2.24,88.8,93.1,78.5,92.7,96.1,100,1,5.1,3.7,3,2.8,7.5,2,Paruh Waktu,0,Menengah,1
2.4,3.22,2.75,2.42,2.53,2.67,3.02,2.67,98.9,96.5,73.1,90.2,100,80.1,1,4.4,3.9,4,1.7,2.3,5.2,Tidak Bekerja,34,Tinggi,0
2.08,2.94,2.35,2.77,2.95,3.98,3.12,3.43,100,89.9,87.9,74.3,83.8,77.8,1,4.2,8.7,5.2,3.2,7.7,6.9,Paruh Waktu,0,Menengah,1
3.14,4,3.83,2.26,2.03,3.47,2.82,2.5,91.2,83.4,92,85.7,92.2,76.1,0,7.8,6.4,6.3,2.8,8.4,5,Paruh Waktu,0,Menengah,1
2.93,2.9,2.78,3.42,2.88,1.99,3.36,3.27,90.9,73.7,75.3,66.2,89.6,71.5,1,1.6,7.5,6.5,4.3,4.7,0.2,Paruh Waktu,0,Menengah,1
3.24,2.37,2.06,2.58,2.45,3.29,2.54,3.43,88.3,93.9,85,97.7,73.5,86.1,2,4.2,7.8,8,5,2.4,5.9,Tidak Bekerja,16,Rendah,1
2.5,3.47,2.12,3.16,2.61,2.61,3.15,2.92,90.7,94.7,81.7,78.9,74.1,76.7,1,9.9875,7.5,2.3,2.4,6,6.1,Paruh Waktu,0,Tinggi,1
2.79,1.64,2.64,2.32,2.84,4,2.93,2.59,94.2,89.8,89.2,91.1,100,73.7,2,5.9,3.1,6.1,3.2,4.2,4.4,Paruh Waktu,0,Rendah,1
2.61,2.96,2.36,2.61,2.8,1.99,2.04,3.05,83.5,79.1,77.6,78,86.1,89.5,1,0.8,7.8,7.7,0.3,7.2,7.1,Paruh Waktu,0,Menengah,1
3.02,3.86,2.88,2.29,2.58,2.36,2.97,2.35,80.3,72.2,83.7,86.8,59.0375,87.6,2,4.9,3.5,9.1,6.9,2.8,6.7,Paruh Waktu,0,Menengah,1
2.72,3.36,3.3,2.44,2.09,2.65,2.35,2.72,97.4,80.4,84.6,85.6,93.5,62.5,1,3.8,5.4,7.4,4,1.2,5.1,Paruh Waktu,0,Rendah,1
2.45,1.65,3.2,3.39,3.08,2.18,2.65,2.75,91,91.7,77.7,85.8,89.6,99.6,0,6.4,6.6,4.9,7.8,5.8,3.3,Tidak Bekerja,16,Menengah,1
2.2,2.57,3.07,2.02,3.48,2.57,2.82,3.33,77.1,95.6,100,78.4,98.7,67.4,2,5.8,2.5,6.9,6.7,9.2,7.8,Paruh Waktu,0,Menengah,1
3.57,3.96,3.41,3.11,2.83,1.98,2.68,3.4,94,72.1,91.1,90.3,88.5,84.7,4,6.3,6.4,3.7,5.9,4.6,2,Paruh Waktu,0,Menengah,1
2.07,2.59,3.61,2.8,3.7,2.39,2.87,2.56,90.9,94,84.75,95.4,84.9,83.1,0,1.5,6.3,5.3,4.9,4.6,4.9,Paruh Waktu,0,Rendah,1
2.23,3.31,2.77,2.2,1.87,1.99,2.42,2.67,98.5,93,76.6,89.1,100,100,3,4.4,6.9,7.8,2,4,9.4,Paruh Waktu,0,Menengah,1
3.22,2.57,2.49,2.83,2.84,2.78,2.8,2.38,92.5,91,71.6,81.1,85.9,79.7,1,6.3,4.9,5.3,4.2,1,0.9,Tidak Bekerja,15,Menengah,1
2.87,2.17,2.94,2.65,3.63,3.54,2.52,2.67,84.3,80.5,87,77.4,73.7,91.2,1,6.3,3.4,6.8,3.7,5.5,6.6,Penuh Waktu,37,Tinggi,0
2.34,1.78,3.57,2.25,2.59,3.08,3.47,2.88,73.1,82,78.2,84.6,97.3,59.6,0,4.2,4,2.5,6.2,2.2,2.4,Paruh Waktu,0,Tinggi,1
2.85,2.89,2.51,2.61,3.02,3.17,2.22,2.93,100,83.8,74.2,73.7,83.4,95.4,2,4.9,5.4,3,7,2.7,4,Paruh Waktu,0,Menengah,1
2.76,2.93,1.48,3.74,3.12,3.73,3.3,3.4,87.1,82.4,88.7,77.9,89.3,58.7,1,5.1,7.7,5.2,8.5,4.5,7,Penuh Waktu,37,Rendah,0
2.1,2.9,2.3,2.39,2.97,2.53,2.94,2.65,85.7,89.5,81.5,75,79.7,97,1,5.2,3.3,5.8,5.9,6,3,Paruh Waktu,0,Rendah,1
2.9,2.94,3.43,3.09,2.68,2.16,2.39,2.62,93.3,84.7,78.4,77.7,84.3,93.9,1,8.2,4.6,4.9,2.6,8.9,2.2,Penuh Waktu,45,Rendah,0
2.82,1.68,3.13,2.86,3,4,1.71,3.61,82.1,87.9,84.5,80.8,79.3,88.3,4,2,6.5,4.2,2.7,4.1,7.5,Tidak Bekerja,10,Rendah,1
3.31,2.34,2.33,2.68,2.44,1.93,2.25,2.13,97.1,100,74,90.5,93.7,70.1,2,5.3,9.95,6.4,4.5,3.9,1,Tidak Bekerja,10,Menengah,1
2.45,2.64,1.93,2.55,2.78,2.52,3.07,2.65,88.2,73.5,85.9,58.05,83.1,68.7,2,7.4,6.6,5.9,8,3.1,8.5,Paruh Waktu,0,Menengah,1
2.2,3.21,2.5,2.5,2.33,1.81,2.86,3.61,84.4,66.5,92.8,68.8,72.9,82.6,2,5.2,3,4.4,6.4,6.7,7.5,Penuh Waktu,32,Menengah,0
2.98,3,2.84,2.29,2.24,2.7,2.82,2.41,89.2,100,67.6,90.8,84.3,89.5,3,4.1,4.7,5.3,4.4,2,4.5,Tidak Bekerja,10,Rendah,1
2.76,2.84,2.16,2.85,2.53,3.27,2.82,3.17,82,82.3,99.9,89.4,77.9,94,1,3.9,5.5,8.7,2.1,4.6,5.1,Paruh Waktu,0,Menengah,1
2.39,2.37,2.75,2.78,2.79,2.66,2.14,3.09,89.1,86.7,83.8,82.1,94.1,83.6,1,4.9,6.1,5.4,8.3,1.5,5.6,Paruh Waktu,0,Rendah,1
2.8,1.99,2.48,2.89,2.31,2.73,1.62,2.42,73.5,75.2,82.3,79,73.3,63.8,1,5.6,6.5,4.2,4.5,5,8.2,Paruh Waktu,0,Rendah,1
2.68,2.85,2.83,3.25,3.02,2.73,2.22,3.35,77.8,78.4,87.7,88,74.3,83.3,0,8,2.1,8,4.5,0.3,2.3,Paruh Waktu,0,Rendah,1
